Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,264,1,146,4,971,"1,386"
Angola,13,1,16,4,8,42
Benin,81,1,33,0,180,295
Botswana,7,0,2,0,2,11
Burkina Faso,49,0,17,4,116,186
Burundi,18,0,5,5,37,65
Cabo Verde,294,0,543,1,2,840
Cameroon,622,4,304,8,"1,285","2,223"
Central African Republic,5,0,3,4,1,13
Chad,8,0,3,0,9,20
Comoros,2,0,0,0,0,2
"Congo, Dem. Rep. of the",417,7,166,7,"2,435","3,032"
"Congo, Rep. of the",20,1,7,0,54,82
Cote d'Ivoire,193,0,106,1,371,671
Djibouti,31,0,3,2,13,49
Egypt,"1,928",18,931,185,"3,483","6,545"
Equatorial Guinea,2,0,0,0,0,2
Eritrea,376,1,146,16,172,711
Ethiopia,"3,348",4,"1,292",59,"2,539","7,242"
Gabon,14,1,9,0,17,41
"Gambia, The",216,0,100,3,6,325
Ghana,"2,040",6,779,67,"1,454","4,346"
Guinea,228,0,83,3,264,578
Guinea-Bissau,10,0,3,2,0,15
Kenya,"1,186",2,394,49,"1,196","2,827"
Lesotho,2,0,1,0,3,6
Liberia,694,3,362,5,"1,752","2,816"
Libya,147,2,11,3,26,189
Madagascar,11,0,0,4,17,32
Malawi,8,0,3,3,6,20
Mali,72,0,33,0,18,123
Mauritania,48,0,13,5,0,66
Mauritius,9,0,7,2,6,24
Morocco,"1,121",5,418,36,853,"2,433"
Western Sahara,0,0,0,0,0,0
Mozambique,5,0,1,0,5,11
Namibia,4,1,1,1,0,7
Niger,43,0,12,4,13,72
Nigeria,"3,244",57,"1,498",155,"2,442","7,396"
Rwanda,22,0,17,0,138,177
Sao Tome and Principe,2,0,1,0,0,3
Senegal,317,2,134,24,108,585
Seychelles,0,0,0,0,0,0
Sierra Leone,440,6,129,34,447,"1,056"
Somalia,"1,487",5,166,1,46,"1,705"
South Africa,255,6,65,80,211,617
South Sudan,40,0,1,0,0,41
Sudan,448,3,132,10,959,"1,552"
Swaziland,2,0,1,0,0,3
Tanzania,86,1,38,8,28,161
Togo,445,0,148,2,564,"1,159"
Tunisia,140,3,30,5,37,215
Uganda,371,4,99,47,167,688
Zambia,67,0,28,8,12,115
Zimbabwe,79,1,51,23,24,178
Region Total For Africa,"20,981",146,"8,491",884,"22,497","52,999"
Asia,,,,,,
Afghanistan,817,"9,283",392,57,95,"10,644"
Bahrain,10,0,7,1,2,20
Bangladesh,"4,423",7,"7,579",90,0,"12,099"
Bhutan,5,0,2,0,7,14
Brunei,4,0,0,1,0,5
Burma,353,1,404,2,199,959
Cambodia,"1,064",2,408,29,333,"1,836"
China - mainland born,"11,798",33,"14,273","10,034",0,"36,138"
#NAME?,314,11,718,190,179,"1,412"
Hong Kong S.A.R,166,4,749,39,34,992
India,"10,467",123,"14,016",745,0,"25,351"
Indonesia,250,9,125,16,64,464
Iran,"1,888",16,"2,410",409,"2,326","7,049"
Iraq,365,"1,521",233,14,48,"2,181"
Israel,308,9,137,41,38,533
Japan,875,32,66,206,228,"1,407"
Jordan,"1,982",9,"1,643",51,173,"3,858"
"Korea, North",1,0,0,0,0,1
"Korea, South","1,386",21,770,"1,609",0,"3,786"
Kuwait,184,3,204,22,55,468
Laos,98,3,48,2,0,151
Lebanon,849,28,987,90,54,"2,008"
Malaysia,129,1,158,20,35,343
Maldives,0,0,0,0,0,0
Mongolia,68,5,23,26,78,200
Nepal,893,14,652,90,"3,437","5,086"
Oman,8,2,4,0,2,16
Pakistan,"5,335",50,"8,132",400,0,"13,917"
Philippines,"12,605",87,"16,304","2,662",0,"31,658"
Qatar,33,0,12,1,14,60
Saudi Arabia,274,1,168,31,104,578
Singapore,47,2,41,21,23,134
Sri Lanka,225,3,237,18,278,761
Syria,800,23,960,66,135,"1,984"
Thailand,734,14,248,34,16,"1,049"
Timor-Leste,0,0,0,0,0,0
United Arab Emirates,137,11,167,35,36,386
Vietnam,"6,242",44,"18,044",149,0,"24,489"
Yemen,"2,010",10,684,35,200,"2,939"
Region Total For Asia,"67,147","11,382","91,005","17,236","8,193","194,976"
Europe,,,,,,
Albania,"1,250",4,423,38,"1,567","3,282"
Andorra,0,0,0,0,0,0
Armenia,448,3,247,31,"1,268","1,997"
Austria,52,1,8,6,23,90
Azerbaijan,91,0,61,14,182,348
Belarus,198,4,92,3,832,"1,129"
Belgium,53,3,14,7,22,99
Bosnia and Herzegovina,143,1,35,7,32,218
Bulgaria,485,9,137,17,998,"1,646"
Croatia,35,0,15,5,40,95
Cyprus,16,0,4,0,7,27
Czech Republic,64,0,19,14,36,133
Denmark,40,0,11,14,14,79
Faroe Islands,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Estonia,27,0,2,0,17,46
Finland,54,2,2,6,16,80
France,299,8,114,55,279,755
French Polynesia,2,0,0,0,0,2
French Southern and Antarctic Lands,0,0,0,0,0,0
New Caledonia,1,0,0,0,1,2
St. Barthelemy,0,0,0,0,0,0
Saint Martin,0,0,0,0,0,0
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,257,2,99,9,341,708
Germany,"1,064",3,136,75,463,"1,741"
Great Britain and Northern Ireland,"1,687",30,448,316,0,"2,481"
Anguilla,5,0,4,0,0,9
Bermuda,17,0,11,9,0,37
British Indian Ocean Territory,0,0,0,0,0,0
British Virgin Islands,9,0,11,0,0,20
Cayman Islands,6,0,8,0,0,14
Falkland Islands,0,0,0,0,0,0
Gibraltar,2,0,0,0,0,2
Montserrat,4,0,10,0,0,14
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0
Turks and Caicos Islands,5,0,4,0,0,9
Greece,235,1,35,18,74,363
Hungary,101,1,23,8,99,232
Iceland,12,0,0,2,10,24
Ireland,145,1,9,20,35,210
Italy,452,7,89,39,245,832
Kazakhstan,136,1,47,24,311,519
Kosovo,221,0,121,2,93,437
Kyrgyzstan,70,0,39,1,229,339
Latvia,105,2,19,5,52,183
Liechtenstein,0,0,0,0,0,0
Lithuania,67,3,40,1,149,260
Luxembourg,2,0,1,0,0,3
Macedonia,189,2,140,18,177,526
Malta,4,0,0,1,0,5
Moldova,110,5,97,6,"1,203","1,421"
Monaco,1,0,1,0,4,6
Montenegro,69,0,46,3,10,128
Netherlands,98,2,19,17,62,198
Aruba,5,1,7,0,0,13
Curacao,7,0,0,0,0,7
Sint Maarten,11,0,10,0,0,21
Northern Ireland (DV only),0,0,0,0,16,16
Norway,31,0,5,3,0,39
Svalbard,0,0,0,0,0,0
Poland,477,7,663,56,455,"1,658"
Portugal,49,0,48,24,21,142
Macau,8,0,25,3,3,39
Romania,407,28,180,28,486,"1,129"
Russia,"1,142",25,414,164,"1,837","3,582"
San Marino,1,0,0,0,0,1
Serbia,138,3,58,12,197,408
Slovakia,31,0,15,8,32,86
Slovenia,8,0,3,0,0,11
Spain,234,4,59,21,158,476
Sweden,85,3,24,30,30,172
Switzerland,55,2,5,9,58,129
Tajikistan,31,2,25,23,239,320
Turkey,370,13,136,96,988,"1,603"
Turkmenistan,24,2,13,3,103,145
Ukraine,"1,632",22,777,55,"1,759","4,245"
Uzbekistan,251,6,402,17,"3,019","3,695"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"13,328",213,"5,510","1,343","18,292","38,686"
North America,,,,,,
Antigua and Barbuda,61,0,91,0,6,158
"Bahamas, The",90,0,37,10,2,139
Barbados,46,3,54,4,4,111
Belize,85,1,113,7,0,206
Canada,815,4,378,265,0,"1,462"
Costa Rica,288,0,98,10,25,421
Cuba,"2,188",13,"3,593",3,301,"6,098"
Dominica,115,0,185,0,6,306
Dominican Republic,"12,039",19,"24,990",51,0,"37,099"
El Salvador,"4,382",6,"6,741",133,0,"11,262"
Grenada,78,1,73,1,5,158
Guatemala,"2,288",13,"2,327",38,44,"4,710"
Haiti,"4,143",11,"6,612",8,0,"10,774"
Honduras,"2,151",16,"1,377",57,36,"3,637"
Jamaica,"4,756",13,"5,371",203,0,"10,343"
Mexico,"36,300",48,"24,833",339,0,"61,520"
Nicaragua,906,11,673,6,2,"1,598"
Panama,155,15,177,2,6,355
Saint Kitts and Nevis,49,0,98,0,0,147
Saint Lucia,108,0,181,2,11,302
Saint Vincent and the Grenadines,71,1,86,1,5,164
Trinidad and Tobago,499,5,550,7,57,"1,118"
Region Total For North America,"71,613",180,"78,638","1,147",510,"152,088"
Oceania,,,,,,
Australia,286,2,50,38,328,704
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0
Fiji,144,2,248,6,217,617
Kiribati,0,0,2,0,0,2
Marshall Islands,30,0,0,0,0,30
"Micronesia, Federated States of",0,0,0,0,0,0
Nauru,0,0,0,0,0,0
New Zealand,102,2,19,18,114,255
Cook Islands,0,0,0,0,0,0
Niue,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0
Palau,0,0,2,0,0,2
Papua New Guinea,5,0,0,0,1,6
Samoa,28,0,9,0,0,37
Solomon Islands,2,0,0,0,0,2
Tonga,38,0,92,0,1,131
Tuvalu,0,0,0,0,0,0
Vanuatu,1,0,0,0,0,1
Region Total for Oceania,636,6,422,62,661,"1,787"
South America,,,,,,
Argentina,249,10,124,47,58,488
Bolivia,264,5,231,80,21,601
Brazil,"1,184",8,328,112,0,"1,632"
Chile,139,1,79,3,17,239
Colombia,"3,334",19,"3,158",96,0,"6,607"
Ecuador,"2,613",56,"3,482",156,0,"6,307"
Guyana,"1,044",5,"3,579",10,6,"4,644"
Paraguay,63,1,20,3,1,88
Peru,"1,900",37,"2,162",50,0,"4,149"
Suriname,18,0,55,0,4,77
Uruguay,62,4,10,7,9,92
Venezuela,555,11,466,129,749,"1,910"
Region Total For South America,"11,425",157,"13,694",693,865,"26,834"
Worldwide Grand Totals,"185,130","12,084","197,760","21,365","51,018","467,370"
