Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,282,1,53,8,846,"1,190"
Angola,24,0,14,0,14,52
Benin,33,0,5,3,213,254
Botswana,10,0,3,1,3,17
Burkina Faso,46,0,7,16,105,174
Burundi,14,0,0,0,25,39
Cameroon,494,4,176,8,"1,666","2,348"
Cape Verde,467,0,787,0,10,"1,264"
Central African Republic,11,0,2,5,2,20
Chad,9,1,0,1,16,27
Comoros,0,0,0,0,1,1
"Congo, Rep. of the",24,0,6,0,44,74
"Congo, Dem. Rep. of the",250,0,62,6,"1,516","1,834"
Cote d'Ivoire,178,1,57,6,290,532
Djibouti,18,0,0,1,18,37
Egypt,"1,574",18,765,111,"3,242","5,710"
Equatorial Guinea,1,0,0,0,0,1
Eritrea,293,1,95,17,381,787
Ethiopia,"4,509",4,"1,134",73,"3,529","9,249"
Gabon,6,0,4,0,6,16
"Gambia, The",196,0,60,15,13,284
Ghana,"1,640",11,793,39,"2,438","4,921"
Guinea,184,0,74,11,185,454
Guinea-Bissau,12,0,3,0,1,16
Kenya,545,1,228,40,"1,856","2,670"
Lesotho,12,0,2,0,0,14
Liberia,682,1,329,14,996,"2,022"
Libya,154,0,12,1,31,198
Madagascar,16,0,4,5,12,37
Malawi,20,0,9,3,10,42
Mali,68,0,26,21,18,133
Mauritania,38,0,21,0,11,70
Mauritius,10,0,1,1,24,36
Morocco,"1,508",5,302,17,982,"2,814"
Mozambique,12,0,3,0,0,15
Namibia,7,0,0,3,3,13
Niger,18,0,3,9,19,49
Nigeria,"3,774",36,"1,196",123,"2,787","7,916"
Rwanda,73,0,3,0,63,139
Sao Tome and Principe,4,0,0,0,0,4
Senegal,362,0,115,46,126,649
Seychelles,3,0,4,0,0,7
Sierra Leone,605,0,145,25,315,"1,090"
Somalia,594,3,46,3,52,698
South Africa,353,16,78,53,266,766
South Sudan,0,0,0,0,0,0
Sudan,497,1,81,11,565,"1,155"
Swaziland,5,0,0,0,1,6
Tanzania,114,0,58,5,66,243
Togo,408,1,91,6,524,"1,030"
Tunisia,189,3,16,5,40,253
Uganda,344,1,58,3,200,606
Zambia,90,0,21,15,43,169
Zimbabwe,107,2,35,10,72,226
Region Total For Africa,"20,887",111,"6,987",740,"23,646","52,371"
Asia,,,,,,
Afghanistan,448,121,173,22,25,789
Bahrain,22,0,16,1,2,41
Bangladesh,"4,679",5,"7,161",100,"3,074","15,019"
Bhutan,2,0,0,1,4,7
Brunei,3,0,0,0,0,3
Burma,530,0,550,21,250,"1,351"
Cambodia,"1,167",2,397,17,167,"1,750"
China - mainland born,"14,497",36,"16,989","4,076",0,"35,598"
#NAME?,713,11,"1,117",201,191,"2,233"
Hong Kong S.A.R,232,0,859,30,20,"1,141"
India,"12,067",132,"11,437",650,0,"24,286"
Indonesia,453,2,165,23,66,709
Iran,"2,625",14,"2,293",411,"1,980","7,323"
Iraq,573,704,251,25,57,"1,610"
Israel,422,10,78,73,28,611
Japan,"1,446",8,68,243,145,"1,910"
Jordan,"1,929",7,"1,205",36,84,"3,261"
"Korea, North",4,0,0,0,0,4
"Korea, South","1,892",42,"1,181","2,153",0,"5,268"
Kuwait,186,0,183,9,21,399
Laos,103,2,56,1,0,162
Lebanon,968,15,810,75,52,"1,920"
Malaysia,178,4,160,28,39,409
Maldives,1,0,0,0,0,1
Mongolia,81,1,14,14,203,313
Nepal,836,7,304,160,"1,970","3,277"
Oman,7,0,3,0,0,10
Pakistan,"4,961",27,"4,872",332,0,"10,192"
Philippines,"15,436",130,"17,280","1,856",0,"34,702"
Qatar,36,0,14,0,0,50
Saudi Arabia,346,1,109,12,39,507
Singapore,86,0,31,14,11,142
Sri Lanka,265,3,208,65,317,858
Syria,771,6,716,85,63,"1,641"
Thailand,"1,030",4,290,44,28,"1,396"
Timor-Leste,1,0,0,0,0,1
United Arab Emirates,163,3,99,10,19,294
Vietnam,"9,401",27,"17,464",105,0,"27,032"
Yemen,"1,916",0,795,10,40,"2,761"
Region Total For Asia,"80,476","1,324","87,348","10,903","8,895","188,981"
Europe,,,,,,
Albania,"1,444",7,233,33,954,"2,671"
Andorra,0,0,0,0,0,0
Armenia,440,2,149,30,990,"1,611"
Austria,58,1,8,15,60,142
Azerbaijan,146,3,46,16,220,431
Belarus,236,1,65,15,665,982
Belgium,89,0,12,8,15,124
Bosnia and Herzegovina,250,1,17,6,28,302
Bulgaria,526,10,82,22,624,"1,264"
Croatia,67,1,9,2,17,96
Cyprus,21,0,4,0,2,27
Czech Republic,97,1,10,3,27,138
Denmark,72,2,4,13,12,103
Faroe Islands,0,0,0,0,0,0
Greenland,1,0,0,0,0,1
Estonia,29,0,7,1,19,56
Finland,58,0,1,1,34,94
France,463,7,113,73,223,879
French Guiana,0,0,0,0,0,0
French Polynesia,7,0,0,2,0,9
French Southern and Antarctic Lands,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0
Martinique,0,0,0,0,0,0
Mayotte,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0
Reunion,0,0,0,0,0,0
St. Barthelemy,0,0,0,0,0,0
Saint Martin,0,0,0,0,0,0
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,358,3,36,7,453,857
Germany,"1,271",13,119,83,804,"2,290"
Great Britain and Northern Ireland,"1,665",19,503,345,0,"2,532"
Anguilla,2,0,16,0,0,18
Bermuda,15,0,4,2,0,21
British Indian Ocean Territory,0,0,0,0,0,0
British Virgin Islands,5,0,9,0,0,14
Cayman Islands,5,0,8,0,0,13
Falkland Islands,0,0,0,0,0,0
Gibraltar,1,0,0,0,0,1
Montserrat,2,0,4,0,0,6
Pitcairn,0,0,0,0,0,0
St. Helena,1,0,0,0,0,1
South Georgia and the South Sandwich Islands,0,0,0,0,0,0
Turks and Caicos Islands,3,0,11,0,0,14
Greece,295,5,47,8,39,394
Hungary,153,2,14,25,118,312
Iceland,18,2,0,0,11,31
Ireland,210,0,8,12,76,306
Italy,368,3,62,33,144,610
Kazakhstan,279,0,41,14,224,558
Kosovo,419,0,51,12,80,562
Kyrgyzstan,113,0,20,0,142,275
